Depth 1,Depth 2,Depth 3,기능 설명,구성요소 (필드명 | 타입 | 필수 | 동작 설명),유효성 검사,예외 처리 (상황 | 에러 메시지 | 복구 방법),화면 이동,기술 참고(DB 스키마),등급
1. 회원 및 사용자,1.1 로그인,1.1.1 이메일 로그인,"로그인 화면의 탭으로, 소셜 로그인(1.1.2)과 자유롭게 전환 가능한 이메일/비밀번호 로그인 영역입니다.","  • 이메일 | Email | 필수 | -
  • 비밀번호 | Password | 필수 | -
  • 로그인 | Button | - | -
  • 회원가입 | Button | - | “아직 계정이 없으신가요?” + 회원가입 버튼으로 고정 문구 노출","  • 이메일 | ~@~ 형식 필수
  • 비밀번호 | 1자 이상, 공백 불가","  • 존재하지 않는 이메일 | ""가입하지 않은 이메일입니다"" | 이메일 재입력 또는 회원가입
  • 비밀번호 오류 | ""비밀번호를 다시 확인해주세요"" | 비밀번호 재입력
  • 이메일 형식 오류 | ""올바른 이메일 형식을 입력해주세요"" | 이메일 재입력","  • 성공 → Depth 2: 2.1 아이 프로필 선택 화면

  • 실패 → 현재 화면 유지 (에러 메시지 표시)

  • ‘회원가입’ 클릭 → Depth2: 1.2 회원가입 화면 (Depth3: 1.2.1 계정 생성부터 시작)",,필수
,,1.1.2 소셜 로그인,"로그인 화면의 탭으로, 이메일 로그인(1.1.1)과 자유롭게 전환 가능한 카카오/구글/네이버 소셜 로그인 영역입니다.","  • 카카오 | Button | - | -
  • 구글 | Button | - | -
  • 네이버 | Button | - | -","  • 선택한 플랫폼 계정 연동 및 인증 필수","  • 소셜 로그인 인증 실패 | ""소셜 로그인에 실패했습니다"" | 에러 메시지 표시 후 현재 화면 유지, 사용자가 소셜 로그인 버튼 재클릭","  • 성공 → Depth2: 2.1 아이 프로필 선택 화면
  • 실패 → 현재 화면 유지 (에러 메시지 표시)",,필수
,1.2 회원가입,1.2.1 계정 생성,"신규 사용자가 이메일, 비밀번호, 휴대폰 인증을 통해 계정을 생성하는 화면입니다.
회원가입 2단계 중 1단계이며 상단 인디케이터에서 현재 단계(① 계정 생성)가 주황색으로 강조 표시됩니다.
이 단계를 완료(유효성 통과)해야 2단계로 진행 가능하며, 인디케이터를 클릭해 임의로 이전/다음 단계로 이동할 수 없습니다. (순차 진행형)
","  • 진행 단계 인디케이터 | Card | - | 현재 진행 중인 단계는 주황색 배경 + 검은색 텍스트로 강조 표시, 클릭 시 이동 불가 (표시 전용, 순차 진행에 따라 자동 갱신)
 • 이메일 | Email | 필수 | -
 • 비밀번호 | Password | 필수 | 	눈 모양 아이콘 클릭 시 마스킹 표시 ↔ 평문 표시 토글
  • 비밀번호 확인 | Password | 필수 | -
  • 휴대폰 번호 | Tel | 필수 | -
  • 인증번호 받기 | Button | 필수 | 클릭 시 SMS 발송, 인증번호 입력 필드·확인 버튼 활성화, 유효시간(3분) 카운트다운 시작
  • 인증번호 | Text | 필수 | 6자리 숫자만 입력 가능, 유효시간(3분) 경과 시 만료 처리
  • 확인(인증번호) | Button | - | 클릭 시 입력된 인증번호와 발송된 번호 일치 여부 검증
  • 전체 동의하기 | Checkbox | - | 클릭 시 하위 필수 동의 항목 전체 선택/해제 토글
  • 이용약관 및 개인정보 처리방침 동의 | Checkbox | 필수 | - 
  • 마케팅 및 광고성 정보 수신 동의 | Checkbox | -  | - 
  • 취소하기 | Button | - | -
다음	Button | - | 모든 필수 필드 유효성 통과 및 필수 약관 동의 완료 전까지 비활성화, 통과 시 활성화","  • 이메일 | ~@~ 형식 필수, 중복 가입 불가
  • 비밀번호 | 영문+숫자+특수문자 포함, 8~20자
  • 비밀번호 확인 | 비밀번호 필드와 값 일치
  • 휴대폰 번호 | 숫자만 입력, 01012345678 형식(11자리)
  • 인증번호 | 6자리 숫자, 발송된 인증번호와 일치, 유효시간(3분) 이내
  • 이용약관 및 개인정보 처리방침 동의 | 체크 필수","  • 이미 가입된 이메일	| ""이미 가입한 이메일입니다"" | 이메일 필드 재입력 (기존 필드 재사용)
  • 비밀번호 형식 불일치 | ""영문, 숫자, 특수문자를 포함해 8~20자로 입력해주세요"" | 비밀번호 필드 재입력 (기존 필드 재사용)
  • 비밀번호 확인 불일치 | ""비밀번호가 일치하지 않습니다"" | 비밀번호 확인 필드 재입력 (기존 필드 재사용)
  • 인증번호 유효시간 만료 | ""인증 시간이 만료되었습니다. 인증번호를 다시 받아주세요"" | ""인증번호 받기"" 버튼 재클릭 (기존 버튼 재사용)
  • 인증번호 불일치 | ""인증번호가 일치하지 않습니다"" | 인증번호 필드 재입력 후 ""확인"" 버튼 재클릭 (기존 요소 재사용)
  • 필수 약관 미동의 상태로 다음 클릭 시도 | ""필수 약관에 모두 동의해주세요"" | 미동의 항목 강조 표시, 체크박스 재선택 (기존 체크박스 재사용)","  • ‘다음’ 클릭 시 → Depth3: 1.2.2 아이 프로필 등록으로 자동 진행 (탭 직접 클릭으로는 이동 불가, 1단계 유효성 통과 시에만 진입 가능)

  • 실패 → 현재 화면 유지 (에러 메시지 표시)

  • ‘취소하기’ 클릭 시 → Depth2: 1.1 로그인 화면",,필수
,,1.2.2 아이 프로필 추가,"회원가입 2단계 중 2단계입니다. 1단계(계정 생성)의 유효성 통과가 완료되어야 진입 가능한 화면으로, 탭을 직접 클릭해서 건너뛸 수 없습니다(순차 진행형). ""이전"" 클릭 시 1단계로 돌아가되, 1단계에 입력했던 값(이메일/비밀번호/휴대폰 번호 등)은 유지됩니다.
상단 인디케이터에서 현재 단계(② 아이 프로필 등록)가 주황색으로 강조 표시되며, 인디케이터를 클릭해 임의로 이전/다음 단계로 이동할 수 없습니다. (순차 진행형)
한 화면 안에서 여러 아이를 등록할 수 있습니다. 최초 진입 시 ""아이1"" 탭이 기본 생성되어 선택된 상태(배경색 강조)로 표시되며, ""아이 추가하기"" 클릭 시 화면 상단 ""등록한 아이"" 탭에 다음 순번(아이2, 아이3)의 탭과 캐릭터 선택/아이 이름/생년월일 입력 박스가 새로 생성되어 자동으로 그 탭으로 전환됩니다. 등록된 아이들 사이는 탭 클릭으로 자유롭게(순서 무관) 전환하며 입력/수정할 수 있고, 등록 가능한 아이는 최대 3명입니다.","  • 진행 단계 인디케이터 | Card | - | 현재 진행 중인 단계는 주황색 배경 + 검은색 텍스트로 강조 표시, 클릭 시 이동 불가 (표시 전용, 순차 진행에 따라 자동 갱신)
 • 등록한 아이 | Card | - | 자유 전환형 탭. 최초 진입 시 ""아이1"" 탭이 기본 생성되어 선택 상태(배경색 강조)로 표시됨. 탭 클릭 시 해당 아이의 캐릭터/이름/생년월일 입력값으로 폼 전환, 다른 아이의 입력값은 유지된 채 보관. 선택된 탭은 배경색 채움, 미선택 탭은 outline만 표시
  • 아이 추가하기 | Button | - | 클릭 시 현재 선택된(활성) 아이 탭의 필수 항목(캐릭터 선택·아이 이름·생년월일 8자리)이 모두 유효성 통과했는지 우선 검사. (아동 개인정보 동의는 탭별 검사 대상 아님 - 화면 전체 공통 항목이므로 회원가입 버튼에서만 검사), 통과한 경우에만 ""등록한 아이"" 탭에 다음 순번(아이2/아이3) 탭 및 캐릭터 선택·아이 이름·생년월일 빈 입력 박스 신규 생성, 자동으로 새 탭으로 전환. 미통과 시 새 탭을 생성하지 않고 현재 탭 유지. 등록된 아이가 이미 3명(최대)이면 버튼 비활성화(클릭 불가)
• 캐릭터 선택 | Select(카드형) | 필수 | 클릭 시 선택된 아바타에 테두리 표시, 단일 선택(기존 선택 해제 후 신규 선택 적용), ""등록한 아이"" 탭에서 선택된 아이 기준으로 값 반영
  • 아이 이름 | Text | 필수 | -
  • 생년월일 | Date | 필수 | 숫자만 입력 가능(문자·기호 입력 차단), 8자리(YYYYMMDD) 형식으로 입력
  • 아동 개인정보 수집·이용 동의 | Checkbox | 필수 | ""등록한 아이"" 탭과 무관하게 화면 전체에서 1회만 노출·저장.
탭을 몇 개 추가하거나 전환해도 체크 상태는 유지되며,
아이별로 개별 동의를 받지 않음
  • 취소하기 | Button | - | 클릭 시 Depth3: 1.2.1 계정 생성 화면으로 이동, 1단계 입력값 유지
  • 회원가입 | Button | - | 등록한 아이 전체(각 탭)의 필수 필드(캐릭터 선택·아이 이름·생년월일)와 화면 공통 항목인 아동 개인정보 수집·이용 동의 체크 여부가 모두 유효성 통과 시
활성화, 클릭 시 회원가입 최종 처리","  • 등록한 아이 | 최소 1명(아이1 기본 생성) ~ 최대 3명까지 등록 가능  
 • 캐릭터 선택 | 최소 1개 선택 필수
 • 아이 이름 | 아이별로 1자 이상 입력 필수
  • 생년월일 | 아이별로 숫자 8자리(YYYYMMDD) 필수 입력, 유효한 날짜여야 하며 미래 날짜 입력 불가
  • 아동 개인정보 수집·이용 동의 | 아이별 체크 아님, 화면 전체 공통 항목으로 1회 체크 필수



검증 시점 | 검증 대상
""아이 추가하기"" 클릭 시 | 현재 선택된(활성) 탭 1개의 필수 항목 (캐릭터 선택·아이 이름·생년월일) — 동의 항목 제외
""회원가입"" 클릭 시 | 등록된 모든 탭(아이1~아이3)의 필수 항목 전체 + 화면 공통 동의 체크 여부(1회)","  • 캐릭터 미선택 | ""캐릭터를 선택해주세요"" | 캐릭터 선택 영역 강조 표시 후 재선택 (기존 영역 재사용)
  • 아이 이름 미입력 | ""아이 이름을 입력해주세요"" | 아이 이름 필드 재입력 (기존 필드 재사용)
  • 생년월일 미입력/8자리 미만 | """"생년월일 8자리를 입력해주세요 (예: 20190101)” | 생년월일 필드 재입력 (기존 필드 재사용)
  • 생년월일에 숫자 외 문자 입력 시도 | 	(입력 자체를 차단, 별도 에러 메시지 없음) | 숫자 이외 입력 즉시 필터링 (기존 필드 재사용)
  • 유효하지 않은 날짜(예: 존재하지 않는 날짜)·미래 날짜 입력 | ""올바른 생년월일을 입력해주세요"" | 생년월일 필드 재입력 (기존 필드 재사용)
  • 필수 약관 미동의 상태로 ""회원가입"" 클릭 | ""필수 약관에 동의해주세요"" | 체크박스 재선택 (기존 체크박스 재사용)
  • 현재 탭의 필수 항목(캐릭터·이름·생년월일)이 미통과 상태에서 ""아이 추가하기"" 클릭 | ""OO(아이 이름)의 필수 정보를 먼저 입력해주세요"" | 미통과 필드 강조 표시, 새 탭은 생성하지 않고 현재 탭 유지 (기존 탭·필드 재사용)
  • 이미 3명 등록된 상태 (아이 추가하기 비활성) | (버튼 비활성으로 클릭 자체 불가, 필요 시 툴팁 노출) | ""아이는 최대 3명까지 등록할 수 있어요"" 툴팁 표시 (신규 UI 요소, 선택 적용)
  • 마지막(최종) 탭에 미입력/오류 항목이 있는 상태로 ""회원가입"" 클릭 | ""OO(아이 이름)의 정보를 확인해주세요"" | 오류가 있는 탭으로 자동 전환 후 해당 필드 강조 (기존 탭·필드 재사용)","  • ‘완료하기’ 클릭 성공 → Depth2: 2.1 아이 프로필 선택 화면

  • 실패 → 현재 화면 유지 (에러 메시지 표시)

  • 취소하기 버튼 클릭 → Depth3: 1.2.1 계정 생성으로 이동, 1단계 입력값 유지",,필수
,2.0 홈 화면,,"사용자가 앱 접속 시 선택된 아이의 학습 현황을 확인하고, 이어보던 이야기를 계속하거나 추천 이야기를 탐색하는 화면입니다.


진행 중인 이야기가 있는 경우 이어하기 섹션을 노출한다.
진행 중인 이야기가 없는 경우에는 이어하기 섹션은 노출하지 않고 추천이야기만 보여주며, 방귀 뀌는 며느리는 첫번째 고정 노출하도록 한다. ","  • 인사말 + 이름 표시	| Card | - | ""반가워요 {이름} 어린이"" 형식. {이름}은 아이 name의 첫 글자(성으로 간주)를 제외한 나머지 문자열 (예: ""김민지"" → ""민지"")
• 프로필 아이콘 | Button | - | 클릭 시 2.1 아이 프로필 선택 화면으로 이동
• 이어하기
ㄴ 이야기 대표 이미지 | Card | - | 이야기의 대표 이미지 표시
ㄴ 태그(핵심단어/난이도) | Card | - | 이야기에 매핑된 핵심 단어 리스트 및 난이도 배지 표시
ㄴ 제목 | Card | - | 이야기 제목 표시
ㄴ 장면 정보 | Card | - | ""장면 n/N 진행 중 ··· "" 형식으로 표시. n, N 계산은 https://app.notion.com/p/3b7b9644f0bd80a68b5bdf84621a243e?pvs=21  참고
ㄴ 진행률 퍼센트 | Card | - | 진행률(%) 계산은 https://app.notion.com/p/3b7b9644f0bd80a68b5bdf84621a243e?pvs=21참고
ㄴ 진행률 바 | Chart | - | 진행률 바(%) 계산은 [https://app.notion.com/p/3b7b9644f0bd80a68b5bdf84621a243e?pvs=21참고하여 진행률을 프로그레스 바로 표현
ㄴ 이야기 계속하기 버튼 | Button | - | n 계산은 https://app.notion.com/p/3b7b9644f0bd80a68b5bdf84621a243e?pvs=21참고하여 n번째 장면으로 이동
• 추천 이야기 카드 (3x2, 총 6개) | Select(카드형) | - | 3열 2행 배열로 총 6개 고정 노출. 진행 중인 이야기가 없을 경우 첫 번째 카드는 '방귀 뀌는 며느리' 고정, 나머지 5개는 정렬 기준 없이 임의 노출, '방귀 뀌는 며느리'만 클릭 가능, 나머지 5개는 클릭 불가(MVP), 이야기 제목, 핵심 단어, 이야기 난이도, 소요시간 표시
• 모두 보기 버튼	| Button | - | -
• 하단 내비게이션 (홈/이야기/단어집/마이페이지) | Button | - | -"," • 이어하기 진행률 바 | 계산값 0~100% 범위, 소수점은 반올림하여 정수로 표시 
  •  이름 표시 | name의 첫 글자(성) 제외 후 나머지 표시.","• 활동 기록 있으나 미완료 | (이어하기 카드 노출) | -
• 진행 중인 이야기 없음 | (이어하기 카드 미노출, 추천 이야기 6개 중 1번 카드 '방귀 뀌는 며느리' 고정 노출) | 추천 이야기 카드에서 새 이야기 선택
  • 추천 이야기 중 미공개 이야기 클릭 시도 | (클릭 자체 비활성 처리, 별도 에러 메시지 없음) | 클릭 이벤트 미부여 (커서 default, 클릭 무반응)","  • 이야기 계속하기 클릭 → Depth2: Depth2: 2.4 이야기 진행 화면으로 이동(n 계산은 https://app.notion.com/p/3b7b9644f0bd80a68b5bdf84621a243e?pvs=21참고하여 n번째 화면으로 이동)
   
  • 추천 이야기 카드 - '방귀 뀌는 며느리' 클릭→ Depth2: 2.3 이야기 상세 화면
  • 추천 이야기 카드 - 그 외 5개 클릭 → 동작 없음 (MVP 범위 외, 클릭 비활성)

  • 모두 보기 클릭 → Depth2: 2.2 이야기 목록 화면
   
  • 프로필 아이콘 클릭 → Depth2: 2.1 아이 프로필 선택 화면

  • 하단 내비게이션 클릭 
→ 홈: 현재 화면 유지
→ 이야기: Depth2: 2.2 이야기 목록 화면
→ 단어집 : 현재 이동 없음
→ 마이페이지: Depth1: 3 마이페이지 ","- story_scenes 테이블에 scene_type 컬럼 추가 필요
(값: 도입 / 전개 / 대화 — 현재는 순서 컬럼만 있어 장면 유형 구분 불가)

- ""장면 수""는 story_scenes를 scene_type 기준으로 집계 시,
전개n과 대화n을 한 쌍으로 묶어 1개로 카운트 (도입은 카운트 제외)

- 현재 진행 지점 판별은 story_sessions.current_scene_id +
scene_goal_met 값을 조합해서 계산 (위 n 계산 규칙 참고)",필수
,2.1 아이 프로필 선택,,"사용자가 학습할 아이 프로필을 선택하는 화면입니다. 
아이 프로필은 최대 3명까지 등록 가능하며, 등록된 프로필이 3명일 경우 ""아이 추가"" 카드는 노출되지 않습니다.","  • 아이 프로필 카드 (반복, 최대 3개) | Select(카드형) | 필수 | 클릭 시 선택된 카드에 테두리 표시. 단일 선택만 가능하며, 다른 카드 클릭 시 기존 선택 해제 후 신규 카드에 테두리 적용
ㄴ 캐릭터 사진 | Card | - | -
ㄴ 이름 | Card | - | -
ㄴ 만 나이 배지 | Card | - | 생년월일 기준으로 만 나이를 자동 계산하여 배지에 표시 (예: ""만 6세"")
  • 아이 추가 카드 | Button | - | 등록된 프로필이 3명 미만일 때만 노출 (3명 도달 시 카드 자체 숨김)","  • 프로필 카드 개수 | 최대 3개까지만 등록/노출 가능
  • 만 나이 배지 | 생년월일 기준 계산값이 0세 미만/150세 이상이면 비정상 데이터로 처리 (표시하지 않음)
  • 아이 프로필 카드 선택 | 반드시 하나를 선택해야 다음 화면으로 진행 (선택 전에는 하이라이트 없음, 진행 불가)","  • 등록된 프로필 없음 | ""아직 등록된 친구가 없어요"" | ""아이 추가"" 카드만 노출, 클릭 시 등록 유도
  • 아이 추가 시도 (이미 3명) | (버튼/카드 자체 미노출로 사전 차단) | -","  • 아이 프로필 카드 클릭 → Depth2: 2.0 홈 화면 (선택된 아이 컨텍스트로 진입)

 • 아이 추가 카드 클릭 → Depth2: 2.1.1 아이 프로필 추가 (완료 후 Depth2: 2.1 아이 프로필 선택 화면으로 복귀)",,필수
,2.1.1 아이 프로필 추가,,"2.1 아이 프로필 선택 화면에서 ""아이 추가"" 클릭 시 진입하는 화면으로,
아이 1명의 캐릭터·이름·생년월일을 입력하고 약관 동의 후 등록을 완료하는 화면입니다.
등록된 아이가 3명 미만일 때만 진입 가능하며, 2명 이상 등록하려면
2.1 화면에서 ""아이 추가""를 다시 클릭해 이 화면에 재진입해야 합니다.","  • 캐릭터 선택 | Select(카드형) | 필수 | 클릭 시 선택된 아바타에 테두리 표시, 단일 선택(기존 선택 해제 후 신규 선택 적용).
  • 아이 이름 | Text | 필수 | - 
  • 생년월일 | Date | 필수 | 숫자만 입력 가능(문자·기호 입력 차단), 8자리(YYYYMMDD) 형식으로 입력
  • 아동 개인정보 수집 이용 동의 | Checkbox | 필수 | -
  • 취소하기 | Button | - | -
  • 완료하기 | Button | - | 이 화면의 필수 필드(캐릭터·이름·생년월일)와 동의 체크 여부가 통과 시 활성화","  • 등록한 아이 | 최소 1명(아이1 기본 생성) ~ 최대 3명까지 등록 가능
  •  캐릭터 선택 | 아이별로 최소 1개 선택 필수
  • 아이 이름 | 아이별로 1자 이상 입력 필수
  • 생년월일 | 아이별로 숫자 8자리(YYYYMMDD) 필수 입력, 유효한 날짜여야 하며 미래 날짜 입력 불가
  • 아동 개인저 동의 | 1회 체크 필수



검증 시점 | 검증 대상
  • ""등록하기"" 클릭 시 | 이 화면의 캐릭터 선택·아이 이름·생년월일·약관 동의 전체","  • 캐릭터 미선택 | ""캐릭터를 선택해주세요"" | 캐릭터 선택 영역 강조 표시 후 재선택 (기존 영역 재사용)
  • 아이 이름 미입력 | ""아이 이름을 입력해주세요"" | 아이 이름 필드 재입력 (기존 필드 재사용)
  • 생년월일 미입력/8자리 미만 | ""생년월일 8자리를 입력해주세요 (예: 20190101)"" | 생년월일 필드 재입력 (기존 필드 재사용)
  • 생년월일에 숫자 외 문자 입력 시도 | (입력 자체를 차단, 별도 에러 메시지 없음) | 숫자 이외 입력 즉시 필터링 (기존 필드 재사용)
  • 유효하지 않은 날짜·미래 날짜 입력 | ""올바른 생년월일을 입력해주세요"" | 생년월일 필드 재입력 (기존 필드 재사용)
  • 필수 약관(동의) 미체크 상태로 ""등록하기"" 클릭 | ""필수 약관에 동의해주세요"" | 체크박스 영역으로 스크롤 이동 후 강조 표시, 재선택 (기존 체크박스 재사용)","  • ‘완료하기’ 클릭 성공 → Depth2: 2.1 아이 프로필 선택 화면 (신규 등록된 아이(들) 포함하여 갱신된 목록으로 복귀)

  • ‘취소하기’ 클릭 → Depth2: 2.1 아이 프로필 선택 화면으로 이동(추가 등록된 아이 없음)

  • 실패 → 현재 화면 유지 (에러 메시지 표시)


반복 가능
→ 2.1 화면에서 ""아이 추가"" 카드를 다시 클릭하면 Depth2: 2.1.1로 재진입 (매번 빈 폼으로 새로 시작, 최대 3회까지 반복 가능 — 이 제한은 2.1 화면에서 통제)",,
,2.2 이야기 목록,,"사용자가 주제·난이도 필터로 이야기를 탐색하고, 원하는 이야기를 선택해 상세 화면으로 진입하는 화면입니다.



필터링 로직
- 주제 필터와 난이도 필터는 각각 단일 선택(자유 전환)이며,
두 필터는 AND 조건으로 동시 적용됩니다
(예: 주제=""다름"" + 난이도=""튼튼 이야기"" 선택 시,
두 조건을 모두 만족하는 이야기만 노출).
- 필터 변경 시 이야기 카드 리스트가 즉시 재조회되어 갱신됩니다.
- 필터 결과가 0건인 경우 5️⃣ 예외 처리의 ""필터 적용 결과
이야기 없음"" 케이스로 처리됩니다","  • 이야기 모음(타이틀) | Text | - | -
  • 주제 필터 | Radio | - | 클릭 시 눌림 효과 표시 후 선택된 주제 값으로 필터 적용, 이야기 카드 리스트 재조회(전체/다름/용기/친절/나눔 중 1개 선택, 자유 전환)
  • 난이도 필터 | Radio | - | 클릭 시 눌림 효과 표시 후 선택된 난이도 값으로 필터 적용, 이야기 카드 리스트 재조회(전체/새싹 이야기/튼튼 이야기/도전 이야기 중 1개 선택, 자유 전환)
  • 이야기 카드 리스트 | Card | - | 선택된 주제/난이도 필터 조건에 맞는
이야기만 노출(AND 조건), 필터 변경 시마다 목록 재조회. 3x2 그리드로
반복 노출
  • 이야기 카드 이미지 | Card | - | -
  • 이야기 제목 | Text | - | -
  • 이야기 줄거리 | Text | - | -
  • 주제 배지 | Card | - | 이야기별 주제 값(다름/용기/친절/나눔) 노출, 이야기당 1개 이상 표시될 수 있음(개수 가변)
  • 난이도 배지 | Card | - | 이야기별 난이도 값(새싹 이야기/튼튼 이야기/도전 이야기) 1개 노출
  • 소요시간 배지 | Card | - | 이야기별 예상 소요 시간(분) 노출
  • 하단 바 - 홈 | Button | - | 클릭 시 눌림 효과 표시 후 Depth2: 2.0 홈 화면으로 이동
  • 하단 바 - 이야기 | Button | - | 클릭 시 현재 화면 유지(활성 탭 표시), 이미 이 화면에 있으므로 이동 없음
  • 하단 바 - 단어장 | Button | - | 클릭 시 이동 없음
  • 하단 바 - 마이페이지 | Button | - | 클릭 시 눌림 효과 표시 후 Depth2 : 3.1 내정보로 이동",,"  • 이야기 목록 조회 실패 | ""이야기 목록을 불러오지 못했습니다"" | ""다시 시도"" 버튼 클릭 (전용 버튼 신규 생성), 재요청
  • 필터 적용 결과 이야기 없음 | ""해당 조건의 이야기가 없어요"" | 빈 상태 화면 노출, 필터 초기화(""전체"" 재선택)로 복구 (기존 필터 버튼 재사용, 별도 컴포넌트 없음)","  • 성공 (이야기 카드 클릭):
→ Depth2: 2.3 이야기 상세 화면으로 이동

하단 바 클릭 시:
→ ""홈"" 클릭: Depth2: 2.0 홈 화면으로 이동
→ ""마이페이지"" 클릭: Depth3: 3.1 내정보로 이동
→ ""이야기"" 클릭: 현재 화면 유지 (이동 없음)

실패 시 :
→ 현재 화면 유지 (에러 메시지 표시)

반복 가능:
→ 주제/난이도 필터 클릭 시 카드 리스트만 재조회, 화면 유지 (Depth 변화 없음)",,필수
,2.3 이야기 상세,,"사용자가 선택한 이야기의 핵심 주제·난이도·소요 시간·제목·줄거리와 학습 목표를 확인하고, 이야기를 시작할지 결정하는 화면입니다.


고정 텍스트 (임시 : 추후 이야기가 확장될 경우 전환 필요)
- 섹션 타이틀: ""이런 것을 배워요 📝""
- 체크리스트 항목: (예시)
- 다름을 장점으로 바라보기
- 상대방의 감정 이해하기
- 문제 해결 방법 생각하기
- 줄거리 뒤 안내 문구: ""이야기 속 캐릭터와 대화하며 나의 특별한 점을 찾아봐요!""
","  • < 이야기 모음 | Button | - | 클릭 시 Depth2: 2.2 이야기 목록 화면으로 이동
  • 이야기 상세 이미지 | Card | - | -
  • 핵심 주제 | Card | - | -
  • 난이도	Card | - | -
  • 소요 시간 | Card | - | -
  • 이야기 제목 | Text | - | -
  • 줄거리 | Text | - | stories.summary 값 노출 + 고정 문구 ""이야기 속 캐릭터와 대화하며 나의 특별한 점을 찾아봐요!""를 이어 붙여 한 문단으로 노출
  • 이런 것을 배워요 | Card	| - | 고정 텍스트 박스, 이야기 종류와 무관하게 동일한 문구 노출
  • 이야기 시작하기 | Button | - | 클릭 시 이야기 진행 화면(Depth2: 2.4)으로 이동",,"  • 이야기 상세 데이터 조회 실패 | ""이야기 정보를 불러오지 못했습니다"" | ""다시 시도"" 버튼 클릭 (전용 버튼 신규 생성), 재요청
  • 이야기 상세 이미지 로드 실패 | (메시지 없음, 대체 이미지로 표시) | 기본 플레이스홀더 이미지로 대체 노출 (별도 컴포넌트 없음, 기존 이미지 슬롯 재사용)","성공 (""이야기 시작하기"" 클릭)
→ 진행 이력이 있는 이야기: Depth2: 2.4 이야기 진행 화면, 마지막 학습 지점부터 재개
→ 진행 이력이 없는 이야기: Depth2: 2.4 이야기 진행 화면 (Depth3: 2.4.1 도입부터 시작)

  • ""< 이야기 모음"" 클릭
→ Depth2: 2.2 이야기 목록 화면으로 이동

실패 시 (데이터 조회/네트워크 오류):
→ 현재 화면 유지 (에러 메시지 표시)",,필수
,"2.4 이야기 진행 ",2.4.1 도입,"이야기 진행 화면은 도입(1단계) → 전개(N단계, 이야기별 가변) →
대화(N단계, 이야기별 가변) → 미션(N단계, 이야기별 가변) →
학습완료(마지막 단계) 순서로 구성됩니다. 도입 구간은 1개입니다.
순차 진행형으로, 이 단계를 끝까지 진행(마지막 문장 도달)해야 다음 단계(전개)로 넘어갈 수 있으며, 탭 등으로 직접 건너뛸 수 없습니다. story_scenes.scene_description 값을 온점(.) 기준으로 분리한 문장을 순서대로 한 문장씩 자동 재생하며 보여주는 화면입니다.


이야기에 사용되는 대사는 아래 페이지의 내용을 확인[도입, 전개, 대화 공통 사용]
장면 구성 테이블 (story_scenes) - 각 장면 발화 목표 및 캐릭터 고정 대사   (https://app.notion.com/p/story_scenes-3b6b9644f0bd80bfa6bfcf35a763d497?pvs=21) ","  • 이야기 제목 | Text | - | -
  • X 나가기 | Button | - | 클릭 시 이야기 진행 중단, Depth2: 2.3 이야기 상세 화면으로 이동
  • 진행률 텍스트 | Text | - | n, N 계산은 [공용] 장면 진행률 계산 규칙 참고하여 “n/N” 형태로 텍스트 나타냄
  • 진행률 바 | Card | - | n, N 계산은 [공용] 장면 진행률 계산 규칙 참고하여 진행률을 프로그레스 바로 나타냄. 도입 단계인 동안은 문장이 몇 번째든 n=1로 고정되어 진행률 바 값이 변하지 않음
  • 도입 이미지 | Card | - | -
  • 나레이션 문장 | Text | - | 화면 진입 시 첫 문장 자동 재생(TTS), 문장 종료 시 자동으로 오디오만 멈추고 다음 문장으로 자동 전환되지는 않음(사용자가 화살표로 넘겨야 진행). 현재 인덱스의 문장 텍스트만 노출
  • 이전 화살표 | Button | -	| 클릭 시 검은 바탕의 화살표로 표시 후 이전 문장으로 이동(인덱스 -1) 후 자동 재생, 첫 번째 문장일 경우 버튼 자체가 노출되지 않음
  • 다음 화살표 | Button | -	| 클릭 시 검은 바탕의 화살표로 표시 후 다음 문장으로 이동(인덱스 +1) 후 자동 재생, 마지막 문장일 경우 버튼이 사라지고 ""진행하기"" 버튼으로 대체
  • 다시 듣기 | Button | - | 클릭 시 현재 화면(현재 인덱스)에 노출된 문장을 처음부터 다시 재생
  • 진행하기 | Button	| - | 마지막 문장에서만 노출되는 버튼, 클릭 시 Depth3: 2.4.2 전개1로 이동",,"  • 나레이션 음성(TTS) 재생 실패 | (메시지 없음, 텍스트만 노출) | 텍스트는 정상 노출, 음성만 미재생 상태로 두고 ""다시 듣기"" 버튼 재클릭으로 재시도 (별도 에러 컴포넌트 없음, 기존 다시 듣기 버튼 재사용)","  • 성공 (마지막 문장에서 ""진행하기"" 클릭) → Depth2: 2.4 이야기 진행 화면 (Depth3: 2.4.2 전개1부터 시작)

  • 중단 (""X 나가기” 클릭) → Depth2: 2.3 이야기 상세 화면으로 복귀(진행 상태 저장하지 않음, 재진입 시 항상 Depth3: 2.4.1 도입 1번째 문장부터 재시작)

  • 실패 (데이터 조회/네트워크 오류) → 현재 화면 유지 (에러 메시지 표시)


반복 가능
→ ""다시 듣기"" 클릭 시 현재 문장 음성 재생 반복 (Depth 변화 없음)

→ 이전/다음 화살표 클릭 시 문장 인덱스만 전환, 화면 유지 (Depth 변화 없음)",,필수
