Depth 1,Depth 2,Depth 3,Depth 4,MVP 요건 구분,데이터 & 처리 로직 / 비고 및 검토사항,등급,비고,예외 처리,이야기 장면,정확한 출처 위치,출처(파일명),화면 / 기능 설명
1. 진입 및 사용자 관리,1.1 로그인,1.1.1 이메일 로그인,-,핵심 요건 (Must),소셜 로그인 포함 최소 1개 이상 연동 제공,필수,,,,"  • ""회원가입 및 아이 등록"" 행, 
    세부설명: ""이메일 또는 소셜 로그인 (카카오, 구글, 네이버 중 1개 이상 제공)""",MVP 요건,이메일 계정 로그인 (이메일/비밀번호 입력 및 로그인 버튼)
,,1.1.2 소셜 로그인,-,핵심 요건 (Must),카카오/구글/네이버 중 1개 이상 필수 구현,필수,,,,위와 동일 행,MVP 요건,카카오 / 구글 / 네이버 연동 간편 로그인
,1.2 회원가입,1.2.1 계정 생성,-,핵심 요건 (Must),보호자 기준으로 계정 체계 등록,필수,"휴대폰 번호  - 
DB: child_consents — 아동 개인정보 처리 동의 - mobile_verification: 휴대전화 본인 확인",,,"  • MVP_요건.pdf
      ◦  ""회원가입 및 아이 등록"" 행  주요기능: ""보호자 계정 생성·아이 프로필 관리"" 
  • user_flow.png ""
      ◦ ①서비스 진입 및 사용자 관리"" 열 ""회원가입→보호자 계정 생성"" 노드",MVP 요건,보호자 계정 생성 (이메일/비밀번호 등록)
,,1.2.2 아이 프로필 등록,-,핵심 요건 (Must),1개 보호자 계정에 다수 아이 프로필 등록 지원,필수,닉네임 값도 받을 것인지,,,"  • MVP_요건.pdf 같은 행 세부설명 ""아이 이름, 나이 등록"" / user_flow.png ""보호자 계정 생성→아이 프로필 등록"" 노드",MVP 요건,"아이 이름, 연도 입력, 약관"
,1.3 프로필 선택,1.3.1 아이 선택,-,핵심 요건 (Must),가입/로그인 직후 메인 진입 전 공통 단계,필수,,,,"""①서비스 진입"" 열, 로그인/회원가입 두 경로 모두 ""아이 선택→홈 화면"" 노드로 수렴 ※ MVP_요건.pdf에는 ""아이 선택"" 단계 명시 없음",user_flow.png,등록된 아이 프로필 카드 선택 후 홈 진입
2. 홈 (메인),2.1 메인 홈,2.1.1 이어하기,-,핵심 요건 (Must),최근 진행 세션 정보 호출 (story_sessions),필수,,,,"""메인 화면"" 행 세부설명 ""진행 중인 이야기 표시와 이어하기 버튼 제공"" ※ story_sessions 연결 서술은 원문에 없고, MVP_대화작동규칙.pdf ""관련 DB 테이블"" 표의 story_sessions 설명에서 유추한 것",MVP 요건,진행 중인 이야기 표시 및 이어하기 버튼
,,2.1.2 추천 이야기,-,보완 요건 (Must),추천 알고리즘 미구현 시 고정 UI 영역 배치,필수,,,,"""메인 화면"" 행 비고란: ""현재 추천 로직은 미구현 상태이며, 홈 화면 UI 구성을 위해 영역만 우선 배치"" (원문과 일치)",MVP 요건,추천 이야기 카드 리스트 (2~3개 표시)
,,2.1.3 GNB,-,핵심 요건 (Must),"[단어장/마이페이지] 클릭 시 최소 화면 (또는 ""준비 중"" 팝업)",필수,,,,"메뉴 구성 자체는 MVP_요건.pdf ""메인 화면"" 행 세부설명 ""홈, 이야기, 단어장, 마이페이지 표시""에 근거.",MVP 요건,"하단 고정 메뉴 ([홈], [이야기], [단어장], [마이페이지])"
3. 이야기 (콘텐츠 학습),3.1 이야기 목록/상세,3.1.1 이야기 목록,-,핵심 요건 (Must),전체 이야기 콘텐츠 리스트 및 필터 기능,필수,"  • 장면 갯수 삭제 (4장면)
  • 아이 역할은 그대로 ",,,"""이야기 선택"" 행 세부설명: ""이야기 목록에 대표 이미지, 제목, 예상 시간, 주요 주제 표시"", ""주제별 필터링 제공""",MVP 요건,"대표 이미지, 제목, 소요시간, 주제 태그
주제 태그 및 필터링"
,,3.1.2 이야기 상세,-,핵심 요건 (Must),학습 진입 전 역할 및 브릿지 안내 화면,필수,,,,"""이야기 선택"" 행 세부설명: ""이야기 선택 시 상세 화면으로 이동"", ""상세 화면에 이야기 도입, 상황, 아이 역할 표시"" ※ ""시작하기 버튼"" 문구는 원문에 없음(추정 표현)",MVP 요건,"이야기 도입, 상황, 아이 역할 안내, 주제 태그, 시작하기 버튼"
